epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.60,0.60,1.09,1.04,0.49,0.50,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
2,0.58,1.18,0.84,0.79,0.61,0.62,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
3,0.57,1.75,0.69,0.65,0.69,0.70,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
4,0.57,2.32,0.57,0.53,0.76,0.77,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
5,0.56,2.88,0.49,0.46,0.82,0.83,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
6,0.56,3.44,0.44,0.41,0.85,0.86,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
7,0.55,3.99,0.40,0.37,0.87,0.88,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
8,0.55,4.54,0.37,0.34,0.89,0.90,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
9,0.54,5.08,0.35,0.32,0.90,0.91,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"
10,0.54,5.62,0.33,0.30,0.91,0.92,Adam,0.001,32,44,"beta1=0.9;beta2=0.999"

