epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.51,0.51,1.21,1.19,0.44,0.45,SGD,0.01,32,43,"momentum=0.9"
2,0.49,1.00,1.06,1.04,0.52,0.51,SGD,0.01,32,43,"momentum=0.9"
3,0.48,1.48,0.96,0.94,0.57,0.56,SGD,0.01,32,43,"momentum=0.9"
4,0.47,1.95,0.86,0.85,0.61,0.60,SGD,0.01,32,43,"momentum=0.9"
5,0.46,2.41,0.79,0.78,0.65,0.64,SGD,0.01,32,43,"momentum=0.9"
6,0.45,2.86,0.73,0.72,0.68,0.67,SGD,0.01,32,43,"momentum=0.9"
7,0.45,3.31,0.69,0.68,0.70,0.69,SGD,0.01,32,43,"momentum=0.9"
8,0.44,3.75,0.66,0.65,0.72,0.71,SGD,0.01,32,43,"momentum=0.9"
9,0.44,4.19,0.64,0.63,0.73,0.72,SGD,0.01,32,43,"momentum=0.9"
10,0.44,4.63,0.62,0.61,0.74,0.73,SGD,0.01,32,43,"momentum=0.9"

