epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.59,0.59,1.11,1.06,0.47,0.49,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
2,0.57,1.16,0.86,0.81,0.61,0.62,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
3,0.56,1.72,0.71,0.67,0.69,0.70,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
4,0.56,2.28,0.59,0.55,0.76,0.77,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
5,0.55,2.83,0.51,0.48,0.82,0.83,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
6,0.55,3.38,0.46,0.43,0.84,0.85,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
7,0.54,3.92,0.42,0.39,0.86,0.87,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
8,0.54,4.46,0.39,0.36,0.88,0.89,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
9,0.54,5.00,0.37,0.34,0.89,0.90,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"
10,0.54,5.54,0.35,0.32,0.90,0.91,Adam,0.001,32,43,"beta1=0.9;beta2=0.999"

