epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.61,0.61,1.12,1.07,0.46,0.48,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
2,0.59,1.20,0.87,0.82,0.59,0.60,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
3,0.58,1.78,0.72,0.68,0.67,0.68,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
4,0.57,2.35,0.60,0.56,0.74,0.75,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
5,0.56,2.91,0.52,0.49,0.80,0.81,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
6,0.56,3.47,0.47,0.44,0.83,0.84,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
7,0.55,4.02,0.43,0.40,0.85,0.86,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
8,0.55,4.57,0.40,0.37,0.87,0.88,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
9,0.54,5.11,0.38,0.35,0.88,0.89,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"
10,0.54,5.65,0.36,0.33,0.89,0.90,Adam,0.001,32,45,"beta1=0.9;beta2=0.999"

