epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.15,0.15,0.694,0.692,0.50,0.50,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
2,0.14,0.29,0.590,0.588,0.75,0.75,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
3,0.13,0.42,0.460,0.458,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
4,0.13,0.55,0.330,0.328,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
5,0.12,0.67,0.230,0.228,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
6,0.12,0.79,0.190,0.188,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
7,0.12,0.91,0.160,0.158,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
8,0.11,1.02,0.130,0.128,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
9,0.11,1.13,0.110,0.108,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"
10,0.11,1.24,0.095,0.093,1.00,1.00,Adam,0.001,4,43,"beta1=0.9;beta2=0.999"

