epoch,elapsed_epoch_sec,elapsed_total_sec,train_loss,val_loss,train_acc,val_acc,optimizer,lr,batch_size,seed,notes
1,0.52,0.52,1.19,1.17,0.46,0.47,SGD,0.01,32,45,"momentum=0.9"
2,0.49,1.01,1.04,1.02,0.54,0.53,SGD,0.01,32,45,"momentum=0.9"
3,0.48,1.49,0.94,0.92,0.59,0.58,SGD,0.01,32,45,"momentum=0.9"
4,0.47,1.96,0.84,0.83,0.63,0.62,SGD,0.01,32,45,"momentum=0.9"
5,0.46,2.42,0.77,0.76,0.67,0.66,SGD,0.01,32,45,"momentum=0.9"
6,0.46,2.88,0.71,0.70,0.70,0.69,SGD,0.01,32,45,"momentum=0.9"
7,0.45,3.33,0.67,0.66,0.72,0.71,SGD,0.01,32,45,"momentum=0.9"
8,0.44,3.77,0.64,0.63,0.74,0.73,SGD,0.01,32,45,"momentum=0.9"
9,0.44,4.21,0.62,0.61,0.75,0.74,SGD,0.01,32,45,"momentum=0.9"
10,0.44,4.65,0.60,0.59,0.76,0.75,SGD,0.01,32,45,"momentum=0.9"

